Experiment Accession,Experiment Title,Organism Name,Sample Accession,Experiment,Run,avgLength,LibraryLayout,stage,cell
SRX19324858,Single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722806,SRX19324858,SRR23387021,202,PAIRED, A. thaliana tricellular pollen,SRR23387021
SRX19324857,Single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722806,SRX19324857,SRR23387022,202,PAIRED, A. thaliana tricellular pollen,SRR23387022
SRX19324856,Single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722813,SRX19324856,SRR23387023,202,PAIRED, A. thaliana bicellular pollen,SRR23387023
SRX19324855,Single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722813,SRX19324855,SRR23387024,202,PAIRED, A. thaliana bicellular pollen,SRR23387024
SRX19324854,Single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722813,SRX19324854,SRR23387025,202,PAIRED, A. thaliana bicellular pollen,SRR23387025
SRX19324853,Single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722813,SRX19324853,SRR23387026,202,PAIRED, A. thaliana bicellular pollen,SRR23387026
SRX19324852,Unenriched single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722812,SRX19324852,SRR23387027,100,SINGLE, A. thaliana tricellular pollen,SRR23387027
SRX19324851,Unenriched single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722811,SRX19324851,SRR23387028,100,SINGLE, A. thaliana bicellular pollen,SRR23387028
SRX19324850,Unenriched single anther pollen RNA-seq: A. thaliana polarised uninucleate microspore,Arabidopsis thaliana,SRS16722810,SRX19324850,SRR23387029,100,SINGLE, A. thaliana polarised uninucleate microspore,SRR23387029
SRX19324849,Unenriched single anther pollen RNA-seq: A. thaliana uninucleate microspore,Arabidopsis thaliana,SRS16722809,SRX19324849,SRR23387030,100,SINGLE, A. thaliana uninucleate microspore,SRR23387030
SRX19324848,Unenriched single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722812,SRX19324848,SRR23387031,100,SINGLE, A. thaliana tricellular pollen,SRR23387031
SRX19324847,Unenriched single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722811,SRX19324847,SRR23387032,100,SINGLE, A. thaliana bicellular pollen,SRR23387032
SRX19324846,Single anther pollen RNA-seq: A. thaliana uninucleate microspore,Arabidopsis thaliana,SRS16722805,SRX19324846,SRR23387033,302,PAIRED, A. thaliana uninucleate microspore,SRR23387033
SRX19324845,Unenriched single anther pollen RNA-seq: A. thaliana polarised uninucleate microspore,Arabidopsis thaliana,SRS16722810,SRX19324845,SRR23387034,100,SINGLE, A. thaliana polarised uninucleate microspore,SRR23387034
SRX19324844,Unenriched single anther pollen RNA-seq: A. thaliana uninucleate microspore,Arabidopsis thaliana,SRS16722809,SRX19324844,SRR23387035,100,SINGLE, A. thaliana uninucleate microspore,SRR23387035
SRX19324843,Unenriched single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722812,SRX19324843,SRR23387036,100,SINGLE, A. thaliana tricellular pollen,SRR23387036
SRX19324842,Unenriched single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722811,SRX19324842,SRR23387037,100,SINGLE, A. thaliana bicellular pollen,SRR23387037
SRX19324841,Unenriched single anther pollen RNA-seq: A. thaliana polarised uninucleate microspore,Arabidopsis thaliana,SRS16722810,SRX19324841,SRR23387038,100,SINGLE, A. thaliana polarised uninucleate microspore,SRR23387038
SRX19324840,Unenriched single anther pollen RNA-seq: A. thaliana uninucleate microspore,Arabidopsis thaliana,SRS16722809,SRX19324840,SRR23387039,100,SINGLE, A. thaliana uninucleate microspore,SRR23387039
SRX19324839,Unenriched single anther pollen RNA-seq: A. thaliana tricellular pollen,Arabidopsis thaliana,SRS16722812,SRX19324839,SRR23387040,100,SINGLE, A. thaliana tricellular pollen,SRR23387040
SRX19324838,Unenriched single anther pollen RNA-seq: A. thaliana bicellular pollen,Arabidopsis thaliana,SRS16722811,SRX19324838,SRR23387041,100,SINGLE, A. thaliana bicellular pollen,SRR23387041
