fracA1,fracA2,winning_col,winning_numReads
0.0,0.0,frac_sig_equiv,5
0.0,0.04,frac_sig_diff,50
0.0,0.08,frac_sig_diff,30
0.0,0.12,frac_sig_diff,30
0.0,0.16,frac_sig_diff,30
0.0,0.2,frac_sig_diff,10
0.0,0.24,frac_sig_diff,5
0.0,0.28,frac_sig_diff,5
0.0,0.32,frac_sig_diff,5
0.0,0.36,frac_sig_diff,5
0.0,0.4,frac_sig_diff,5
0.0,0.44,frac_sig_diff,5
0.0,0.48,frac_sig_diff,5
0.0,0.52,frac_sig_diff,5
0.0,0.56,frac_sig_diff,5
0.0,0.6,frac_sig_diff,5
0.0,0.64,frac_sig_diff,5
0.0,0.68,frac_sig_diff,5
0.0,0.72,frac_sig_diff,5
0.0,0.76,frac_sig_diff,5
0.0,0.8,frac_sig_diff,5
0.0,0.84,frac_sig_diff,5
0.0,0.88,frac_sig_diff,5
0.0,0.92,frac_sig_diff,5
0.0,0.96,frac_sig_diff,5
0.04,0.0,frac_sig_diff,30
0.04,0.04,frac_sig_equiv,300
0.04,0.08,frac_sig_equiv,1000
0.04,0.12,frac_sig_diff,75
0.04,0.16,frac_sig_diff,30
0.04,0.2,frac_sig_diff,30
0.04,0.24,frac_sig_diff,30
0.04,0.28,frac_sig_diff,10
0.04,0.32,frac_sig_diff,10
0.04,0.36,frac_sig_diff,5
0.04,0.4,frac_sig_diff,5
0.04,0.44,frac_sig_diff,5
0.04,0.48,frac_sig_diff,5
0.04,0.52,frac_sig_diff,10
0.04,0.56,frac_sig_diff,5
0.04,0.6,frac_sig_diff,5
0.04,0.64,frac_sig_diff,5
0.04,0.68,frac_sig_diff,5
0.04,0.72,frac_sig_diff,5
0.04,0.76,frac_sig_diff,5
0.04,0.8,frac_sig_diff,5
0.04,0.84,frac_sig_diff,5
0.04,0.88,frac_sig_diff,5
0.04,0.92,frac_sig_diff,5
0.04,0.96,frac_sig_diff,5
0.08,0.0,frac_sig_diff,30
0.08,0.04,frac_sig_equiv,750
0.08,0.08,frac_sig_equiv,100
0.08,0.12,frac_sig_equiv,100
0.08,0.16,frac_sig_equiv,1000
0.08,0.2,frac_sig_diff,50
0.08,0.24,frac_sig_diff,30
0.08,0.28,frac_sig_diff,30
0.08,0.32,frac_sig_diff,30
0.08,0.36,frac_sig_diff,30
0.08,0.4,frac_sig_diff,30
0.08,0.44,frac_sig_diff,30
0.08,0.48,frac_sig_diff,10
0.08,0.52,frac_sig_diff,30
0.08,0.56,frac_sig_diff,10
0.08,0.6,frac_sig_diff,10
0.08,0.64,frac_sig_diff,5
0.08,0.68,frac_sig_diff,5
0.08,0.72,frac_sig_diff,5
0.08,0.76,frac_sig_diff,5
0.08,0.8,frac_sig_diff,5
0.08,0.84,frac_sig_diff,5
0.08,0.88,frac_sig_diff,5
0.08,0.92,frac_sig_diff,5
